date,confirmed,Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,Rainfall,cluster
2012-01-01,0,0,0,0,0,0,0,0,0,0,20.8,7.8,93.0,61.0,0.0,1
2012-01-02,0,0,0,0,0,0,0,0,0,0,18.2,7.9,93.0,54.0,0.0,1
2012-01-03,0,0,0,0,0,0,0,0,0,0,20.0,7.3,86.0,55.0,0.0,1
2012-01-04,0,0,0,0,0,0,0,0,0,0,20.2,7.7,70.0,52.0,0.0,1
2012-01-05,0,0,0,0,0,0,0,0,0,0,18.6,8.7,93.0,49.0,0.0,1
2012-01-06,0,0,0,0,0,0,0,0,0,0,19.4,8.5,87.0,94.0,0.0,1
2012-01-07,0,0,0,0,0,0,0,0,0,0,15.1,7.5,93.0,70.0,2.4,1
2012-01-08,0,0,0,0,0,0,0,0,0,0,13.5,5.5,71.0,58.0,0.0,1
2012-01-09,0,0,0,0,0,0,0,0,0,0,15.6,5.3,78.0,49.0,0.0,1
2012-01-10,0,0,0,0,0,0,0,0,0,0,17.0,4.5,92.0,49.0,0.0,1
2012-01-11,0,0,0,0,0,0,0,0,0,0,17.5,4.4,84.0,43.0,0.0,1
2012-01-12,0,0,0,0,0,0,0,0,0,0,17.6,5.1,72.0,40.0,0.0,1
2012-01-13,0,0,0,0,0,0,0,0,0,0,19.4,6.0,78.0,66.0,0.0,1
2012-01-14,0,0,0,0,0,0,0,0,0,0,20.0,6.2,80.0,52.0,0.0,1
2012-01-15,0,0,0,0,0,0,0,0,0,0,18.3,9.0,94.0,94.0,4.0,1
2012-01-16,0,0,0,0,0,0,0,0,0,0,13.3,10.5,94.0,83.0,12.2,1
2012-01-17,0,0,0,0,0,0,0,0,0,0,14.4,11.6,94.0,69.0,0.0,1
2012-01-18,0,0,0,0,0,0,0,0,0,0,15.8,8.3,86.0,55.0,0.0,1
2012-01-19,0,0,0,0,0,0,0,0,0,0,17.3,7.3,86.0,78.0,0.0,1
2012-01-20,0,0,0,0,0,0,0,0,0,0,15.6,6.0,85.0,49.0,0.0,1
2012-01-21,0,0,0,0,0,0,0,0,0,0,16.8,6.3,85.0,36.0,0.0,1
2012-01-22,0,0,0,0,0,0,0,0,0,0,16.8,6.5,74.0,60.0,0.0,1
2012-01-23,0,0,0,0,0,0,0,0,0,0,18.0,7.5,79.0,44.0,0.0,1
2012-01-24,0,0,0,0,0,0,0,0,0,0,19.2,7.0,79.0,39.0,0.0,1
2012-01-25,0,0,0,0,0,0,0,0,0,0,18.6,8.5,70.0,37.0,0.0,1
2012-01-26,0,0,0,0,0,0,0,0,0,0,19.6,8.0,80.0,46.0,0.0,1
2012-01-27,0,0,0,0,0,0,0,0,0,0,20.0,9.0,68.0,33.0,0.0,1
2012-01-28,0,0,0,0,0,0,0,0,0,0,19.8,8.5,73.0,34.0,0.0,1
2012-01-29,0,0,0,0,0,0,0,0,0,0,20.2,6.0,79.0,36.0,0.0,1
2012-01-30,0,0,0,0,0,0,0,0,0,0,21.2,7.0,72.0,34.0,0.0,1
2012-01-31,0,0,0,0,0,0,0,0,0,0,21.5,8.7,75.0,35.0,0.0,1
2012-02-01,0,0,0,0,0,0,0,0,0,0,21.3,8.8,68.0,41.0,0.0,1
2012-02-02,0,0,0,0,0,0,0,0,0,0,21.2,9.0,63.0,38.0,0.0,1
2012-02-03,0,0,0,0,0,0,0,0,0,0,20.5,10.0,63.0,60.0,0.0,1
2012-02-04,0,0,0,0,0,0,0,0,0,0,19.2,12.0,77.0,65.0,0.0,1
2012-02-05,0,0,0,0,0,0,0,0,0,0,18.2,7.9,87.0,63.0,2.0,1
2012-02-06,0,0,0,0,0,0,0,0,0,0,20.2,8.0,87.0,40.0,0.0,1
2012-02-07,0,0,0,0,0,0,0,0,0,0,18.7,5.0,63.0,34.0,0.0,1
2012-02-08,0,0,0,0,0,0,0,0,0,0,18.2,4.8,55.0,23.0,0.0,1
2012-02-09,0,0,0,0,0,0,0,0,0,0,17.2,4.5,70.0,32.0,0.0,1
2012-02-10,0,0,0,0,0,0,0,0,0,0,19.4,6.0,59.0,31.0,0.0,1
2012-02-11,0,0,0,0,0,0,0,0,0,0,20.2,6.2,72.0,45.0,0.0,1
2012-02-12,0,0,0,0,0,0,0,0,0,0,19.5,6.0,76.0,57.0,0.4,1
2012-02-13,0,0,0,0,0,0,0,0,0,0,19.2,10.0,88.0,62.0,4.2,1
2012-02-14,0,0,0,0,0,0,0,0,0,0,20.1,9.8,75.0,36.0,0.0,1
2012-02-15,0,0,0,0,0,0,0,0,0,0,19.3,6.2,72.0,34.0,0.0,1
2012-02-16,0,0,0,0,0,0,0,0,0,0,18.2,6.0,79.0,35.0,0.0,1
2012-02-17,0,0,0,0,0,0,0,0,0,0,19.0,6.0,73.0,47.0,0.0,1
2012-02-18,0,0,0,0,0,0,0,0,0,0,18.8,6.5,63.0,38.0,0.0,1
2012-02-19,0,0,0,0,0,0,0,0,0,0,20.0,9.5,75.0,42.0,0.0,1
2012-02-20,0,0,0,0,0,0,0,0,0,0,19.3,10.0,83.0,55.0,0.2,1
2012-02-21,0,0,0,0,0,0,0,0,0,0,20.7,11.3,89.0,54.0,0.0,1
2012-02-22,0,0,0,0,0,0,0,0,0,0,22.7,12.0,67.0,40.0,0.0,1
2012-02-23,0,0,0,0,0,0,0,0,0,0,21.2,7.5,50.0,29.0,0.0,1
2012-02-24,0,0,0,0,0,0,0,0,0,0,21.2,8.3,68.0,18.0,0.0,1
2012-02-25,0,0,0,0,0,0,0,0,0,0,21.3,8.5,42.0,25.0,0.0,1
