"(15L,)",30,2
"(15L,)",37,8
"(15L,)",48,28
"(15L,)",49,3
"(15L,)",46,5
"(15L,)",44,13
"(15L,)",45,13
"(15L,)",42,15
"(15L,)",43,9
"(15L,)",40,8
"(15L,)",1,1
"(15L,)",4,5
"(15L,)",126,10
"(15L,)",39,5
"(15L,)",38,4
"(15L,)",59,1
"(15L,)",58,9
"(15L,)",19,6
"(15L,)",56,10
"(15L,)",51,3
"(15L,)",36,66
"(15L,)",35,2
"(15L,)",52,2
"(0L,)",133,1
"(0L,)",132,33
"(0L,)",131,5
"(0L,)",130,61
"(0L,)",137,4
"(0L,)",136,8
"(0L,)",135,91
"(0L,)",134,8
"(0L,)",139,8
"(0L,)",138,1
"(0L,)",24,9
"(0L,)",25,3
"(0L,)",26,7
"(0L,)",27,8
"(0L,)",21,4
"(0L,)",22,9
"(0L,)",23,39
"(0L,)",28,7
"(0L,)",29,4
"(0L,)",0,20
"(0L,)",4,5
"(0L,)",8,4
"(0L,)",87,8
"(0L,)",120,3
"(0L,)",121,4
"(0L,)",124,1
"(0L,)",126,10
"(0L,)",127,48
"(0L,)",128,9
"(0L,)",129,3
"(0L,)",59,1
"(0L,)",58,9
"(0L,)",55,4
"(0L,)",54,2
"(0L,)",57,2
"(0L,)",56,10
"(0L,)",51,3
"(0L,)",52,2
"(0L,)",115,11
"(0L,)",117,6
"(0L,)",116,25
"(0L,)",111,4
"(0L,)",110,3
"(0L,)",113,4
"(0L,)",112,12
"(0L,)",82,8
"(0L,)",83,7
"(0L,)",80,7
"(0L,)",81,8
"(0L,)",86,8
"(0L,)",118,4
"(0L,)",84,5
"(0L,)",85,6
"(0L,)",3,5
"(0L,)",7,20
"(0L,)",108,6
"(0L,)",102,3
"(0L,)",103,3
"(0L,)",100,28
"(0L,)",101,3
"(0L,)",106,31
"(0L,)",107,4
"(0L,)",104,1
"(0L,)",105,7
"(0L,)",39,5
"(0L,)",38,4
"(0L,)",32,9
"(0L,)",31,2
"(0L,)",30,2
"(0L,)",37,8
"(0L,)",36,66
"(0L,)",35,2
"(0L,)",34,5
"(0L,)",60,1
"(0L,)",63,5
"(0L,)",64,12
"(0L,)",67,15
"(0L,)",68,12
"(0L,)",69,32
"(0L,)",2,1
"(0L,)",99,5
"(0L,)",98,2
"(0L,)",90,2
"(0L,)",92,3
"(0L,)",95,1
"(0L,)",94,2
"(0L,)",97,41
"(0L,)",96,1
"(0L,)",11,7
"(0L,)",10,17
"(0L,)",13,9
"(0L,)",12,20
"(0L,)",15,10
"(0L,)",14,8
"(0L,)",17,1
"(0L,)",16,6
"(0L,)",19,6
"(0L,)",18,8
"(0L,)",88,1
"(0L,)",89,11
"(0L,)",152,166
"(0L,)",48,28
"(0L,)",49,3
"(0L,)",46,5
"(0L,)",47,9
"(0L,)",44,13
"(0L,)",45,13
"(0L,)",42,15
"(0L,)",43,9
"(0L,)",40,8
"(0L,)",41,5
"(0L,)",1,1
"(0L,)",5,2
"(0L,)",9,9
"(0L,)",146,6
"(0L,)",147,1
"(0L,)",145,3
"(0L,)",142,6
"(0L,)",143,2
"(0L,)",141,8
"(0L,)",149,1
"(0L,)",77,11
"(0L,)",76,13
"(0L,)",75,3
"(0L,)",74,5
"(0L,)",73,10
"(0L,)",72,22
"(0L,)",71,33
"(0L,)",70,18
"(0L,)",79,26
"(0L,)",78,4
"(1L,)",152,166
"(1L,)",51,3
"(1L,)",60,1
"(1L,)",48,28
"(1L,)",49,3
"(1L,)",44,13
"(1L,)",45,13
"(1L,)",42,15
"(1L,)",43,9
"(1L,)",40,8
"(1L,)",41,5
"(1L,)",0,20
"(1L,)",2,1
"(1L,)",5,2
"(1L,)",4,5
"(1L,)",98,2
"(1L,)",126,10
"(1L,)",94,2
"(1L,)",39,5
"(1L,)",38,4
"(1L,)",59,1
"(1L,)",58,9
"(1L,)",16,6
"(1L,)",55,4
"(1L,)",54,2
"(1L,)",31,2
"(1L,)",56,10
"(1L,)",37,8
"(1L,)",35,2
"(1L,)",52,2
"(1L,)",57,2
"(2L,)",11,7
"(2L,)",10,17
"(2L,)",12,20
"(2L,)",113,4
"(2L,)",0,20
"(2L,)",56,10
"(2L,)",30,2
"(2L,)",108,6
"(2L,)",133,1
"(2L,)",76,13
"(2L,)",117,6
"(2L,)",116,25
"(2L,)",111,4
"(2L,)",110,3
"(2L,)",135,91
"(2L,)",112,12
"(2L,)",8,4
"(2L,)",118,4
"(2L,)",104,1
"(8L,)",124,1
"(8L,)",118,4
"(3L,)",67,15
"(3L,)",68,12
"(3L,)",69,32
"(3L,)",80,7
"(3L,)",85,6
"(3L,)",26,7
"(3L,)",27,8
"(3L,)",22,9
"(3L,)",28,7
"(3L,)",29,4
"(3L,)",1,1
"(3L,)",3,5
"(3L,)",2,1
"(3L,)",5,2
"(3L,)",7,20
"(3L,)",9,9
"(3L,)",8,4
"(3L,)",13,9
"(3L,)",77,11
"(3L,)",38,4
"(3L,)",73,10
"(3L,)",72,22
"(3L,)",71,33
"(3L,)",70,18
"(3L,)",79,26
"(3L,)",11,7
"(3L,)",10,17
"(3L,)",39,5
"(3L,)",12,20
"(3L,)",59,1
"(3L,)",14,8
"(3L,)",57,2
"(3L,)",30,2
"(3L,)",74,5
