k, sc
10, 0.431
11, 0.412
12, 0.424
13, 0.424
14, 0.415
15, 0.428
16, 0.436
17, 0.424
18, 0.431
19, 0.431
20, 0.428
21, 0.416
22, 0.412
23, 0.415
24, 0.415
25, 0.411
26, 0.401
27, 0.403
28, 0.416
29, 0.412
