k, sc
10, 0.478
11, 0.475
12, 0.475
13, 0.477
14, 0.459
15, 0.457
16, 0.444
17, 0.443
18, 0.448
19, 0.450
20, 0.458
21, 0.455
22, 0.450
23, 0.451
24, 0.458
25, 0.436
26, 0.459
27, 0.442
28, 0.458
29, 0.449
