31.5781,74.3162,Ravi Town
31.5892,74.3013,Data Ganj Bakhsh Town
31.5716,74.3755,Gulberg Town
31.6011,74.3189,Ravi Town
31.5951,74.304,Ravi Town
31.4418,74.3712,Nishter Town
31.5902,74.3019,Data Ganj Bakhsh Town
31.5094,74.3251,Gulberg Town
31.5708,74.3164,Data Ganj Bakhsh Town
31.4837,74.3937,Cantonment
31.4093,74.2652,Nishter Town
31.5264,74.2899,Samanabad Town
31.4939,74.2689,Allama Iqbal Town
31.5744,74.3134,Data Ganj Bakhsh Town
31.5028,74.3539,Gulberg Town
31.4753,74.3377,Gulberg Town
31.6033,74.3252,Ravi Town
31.486,74.3458,Gulberg Town
31.5794,74.3454,Shalamar Town
31.5877,74.3932,Wahga Town
31.5554,74.3562,Gulberg Town
31.5262,74.2683,Allama Iqbal Town
31.4775,74.3431,Gulberg Town
31.3036,74.0571,Allama Iqbal Town
31.6015,74.3346,Shalamar Town
31.5149,74.298,Samanabad Town
31.5825,74.3624,Shalamar Town
31.4738,74.3377,Gulberg Town
31.5624,74.4038,Aziz Bhati Town
31.5684,74.3578,Gulberg Town
31.4864,74.3458,Gulberg Town
31.5597,74.3526,Gulberg Town
31.5625,74.3486,Gulberg Town
31.5771,74.3812,Shalamar Town
31.4861,74.3456,Gulberg Town
31.5773,74.3993,Aziz Bhati Town
31.6054,74.3366,Shalamar Town
31.5379,74.2951,Samanabad Town
31.504,74.2863,Samanabad Town
31.5497,74.4183,Aziz Bhati Town
31.5723,74.3884,Aziz Bhati Town
31.591,74.3749,Shalamar Town
31.5632,74.4015,Aziz Bhati Town
31.5243,74.3003,Samanabad Town
31.5652,74.3485,Gulberg Town
31.608,74.3126,Ravi Town
31.5641,74.2901,Data Ganj Bakhsh Town
31.5745,74.3923,Aziz Bhati Town
31.5982,74.3001,Ravi Town
31.5788,74.2985,Data Ganj Bakhsh Town
31.5608,74.3098,Data Ganj Bakhsh Town
31.6045,74.3235,Ravi Town
31.4599,74.3074,Allama Iqbal Town
31.5269,74.3486,Gulberg Town
31.5554,74.319,Data Ganj Bakhsh Town
31.4746,74.2814,Allama Iqbal Town
31.5182,74.305,Samanabad Town
31.5816,74.3156,Ravi Town
31.4619,74.3478,Nishter Town
31.4755,74.3364,Gulberg Town
31.5743,74.3799,Gulberg Town
31.5402,74.2941,Samanabad Town
31.5953,74.299,Data Ganj Bakhsh Town
31.4534,74.3508,Nishter Town
31.5908,74.4028,Wahga Town
31.5805,74.4096,Aziz Bhati Town
31.5693,74.3806,Gulberg Town
31.5769,74.3954,Aziz Bhati Town
31.5803,74.3451,Shalamar Town
31.5042,74.2861,Samanabad Town
31.5845,74.4135,Wahga Town
31.4684,74.3048,Gulberg Town
31.4736,74.2974,Allama Iqbal Town
31.5698,74.3923,Aziz Bhati Town
31.4753,74.298,Allama Iqbal Town
31.6005,74.2955,Data Ganj Bakhsh Town
31.4477,74.348,Nishter Town
31.5591,74.3052,Data Ganj Bakhsh Town
31.6031,74.3351,Shalamar Town
31.5945,74.3558,Shalamar Town
31.5642,74.3274,Data Ganj Bakhsh Town
31.5911,74.337,Shalamar Town
31.5186,74.3044,Samanabad Town
31.5511,74.2754,Samanabad Town
31.4727,74.2843,Allama Iqbal Town
31.4961,74.3659,Cantonment
31.5768,74.3953,Aziz Bhati Town
31.5594,74.2974,Data Ganj Bakhsh Town
31.6036,74.3195,Ravi Town
31.5724,74.3793,Gulberg Town
31.5748,74.3854,Shalamar Town
31.5672,74.3959,Aziz Bhati Town
31.5604,74.4005,Aziz Bhati Town
