k, sc
10, 0.473
11, 0.474
12, 0.481
13, 0.499
14, 0.496
15, 0.490
16, 0.482
17, 0.480
18, 0.486
19, 0.487
20, 0.487
21, 0.486
22, 0.471
23, 0.466
24, 0.491
25, 0.462
26, 0.469
27, 0.481
28, 0.483
29, 0.464
