date,confirmed,Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,Rainfall
2013-10-03,0,2,4,0,7,0,0,4,0,6,32.4,24.7,88.0,56.0,0.1
2013-10-04,0,4,11,0,34,0,5,1,0,10,29.8,22.5,84.0,71.0,5.2
2013-10-05,0,2,1,0,51,0,0,5,2,7,32.5,22.0,84.0,69.0,10.2
2013-10-06,0,0,0,0,32,0,0,0,0,0,33.5,23.4,81.0,64.0,0.0
2013-10-07,1,8,8,0,54,0,2,1,0,18,34.5,24.5,85.0,61.0,0.0
2013-10-08,0,0,2,0,47,0,1,4,6,3,33.7,25.0,81.0,64.0,0.0
2013-10-09,0,3,1,1,49,0,1,1,1,2,33.7,25.0,85.0,67.0,0.1
2013-10-10,1,1,6,1,55,0,2,5,1,2,35.0,24.0,88.0,69.0,0.0
2013-10-11,0,32,68,6,35,2,12,18,26,16,33.8,25.0,81.0,76.0,0.0
2013-10-12,3,48,160,11,79,10,43,53,31,23,30.0,19.5,83.0,64.0,1.5
2013-10-13,7,24,74,28,32,3,38,25,6,0,29.8,21.0,80.0,60.0,0.1
2013-10-14,5,79,109,25,82,6,43,58,44,17,32.0,20.0,79.0,53.0,0.0
2013-10-15,5,0,39,119,122,1,13,21,26,26,33.5,21.0,76.0,44.0,0.0
2013-10-16,0,1,10,8,16,1,3,2,1,11,33.0,20.6,83.0,49.0,0.0
2013-10-17,3,3,27,10,27,0,6,11,36,13,32.5,21.0,78.0,54.0,0.0
2013-10-18,2,20,57,8,8,1,22,54,21,1,32.5,20.2,64.0,46.0,0.0
2013-10-19,4,34,103,74,302,3,29,118,10,7,33.0,18.5,75.0,36.0,0.0
2013-10-20,9,24,65,20,196,0,17,12,7,1,32.4,18.5,75.0,43.0,0.0
2013-10-21,6,57,118,23,247,3,46,76,44,21,32.0,19.2,75.0,42.0,0.0
2013-10-22,5,34,168,23,220,8,41,66,24,8,32.0,18.0,74.0,50.0,0.0
2013-10-23,7,34,181,27,180,3,49,58,47,16,30.7,18.2,78.0,58.0,0.0
2013-10-24,13,114,99,24,110,8,31,96,27,8,31.0,18.0,82.0,50.0,0.0
2013-10-25,11,19,112,12,177,2,50,66,24,12,30.7,19.0,67.0,50.0,0.0
2013-10-26,1,24,79,120,87,1,57,58,43,7,31.0,17.5,86.0,53.0,0.0
2013-10-27,11,15,43,19,165,0,9,35,10,0,30.5,17.5,82.0,51.0,0.0
2013-10-28,10,48,133,103,62,2,31,98,211,20,30.0,16.5,77.0,48.0,0.0
2013-10-29,15,98,167,26,291,4,85,109,764,25,30.5,15.6,86.0,48.0,0.0
2013-10-30,18,139,179,31,364,3,96,145,790,37,29.5,16.0,77.0,54.0,0.0
2013-10-31,6,182,258,60,303,3,129,137,1221,33,27.5,14.0,73.0,68.0,0.1
2013-11-01,0,134,195,100,429,16,98,103,1898,20,28.0,16.0,76.0,55.0,0.0
2013-11-02,3,266,229,173,529,8,129,161,2327,49,28.5,14.5,76.0,34.0,0.0
2013-11-03,4,2300,293,300,353,18,115,38,2761,43,28.3,12.5,65.0,37.0,0.0
2013-11-04,3,300,203,384,549,15,118,147,2388,32,28.4,12.3,74.0,40.0,0.0
2013-11-05,9,308,148,416,575,17,114,117,2061,23,37.5,13.0,78.0,48.0,0.0
2013-11-06,12,288,173,402,722,9,114,168,2450,53,24.5,14.5,76.0,63.0,0.0
2013-11-07,9,303,219,278,907,28,100,143,1829,24,23.2,13.5,84.0,80.0,0.0
2013-11-08,20,363,221,476,723,21,149,151,2364,36,22.8,11.3,89.0,58.0,4.5
2013-11-09,2,268,231,336,817,19,124,151,2219,30,24.2,11.5,89.0,51.0,0.0
2013-11-10,8,184,179,371,817,2,97,153,1120,17,25.5,12.0,79.0,45.0,0.0
2013-11-11,7,293,198,243,641,19,86,129,2169,34,25.7,11.3,78.0,45.0,0.0
2013-11-12,11,240,218,226,887,10,106,142,2137,21,26.0,10.6,83.0,46.0,0.0
2013-11-13,0,137,117,113,592,9,73,110,1689,9,25.8,10.2,88.0,43.0,0.0
2013-11-14,1,61,27,38,132,1,15,8,407,6,25.8,10.0,77.0,42.0,0.0
2013-11-15,0,1,15,22,77,1,2,85,231,3,26.0,8.5,76.0,33.0,0.0
2013-11-16,8,345,226,326,849,13,113,135,2382,18,26.2,9.2,82.0,34.0,0.0
2013-11-17,5,246,223,205,830,21,79,167,813,14,25.5,9.0,82.0,42.0,0.0
2013-11-18,41,270,108,188,540,15,64,179,1390,22,25.5,9.0,77.0,40.0,0.0
2013-11-19,48,238,152,225,657,11,79,179,1743,16,26.7,10.2,72.0,42.0,0.0
2013-11-20,35,245,126,236,614,9,80,150,1914,43,27.5,10.2,83.0,50.0,0.0
2013-11-21,31,256,116,219,609,15,94,181,1987,19,27.0,10.0,83.0,57.0,0.0
2013-11-22,18,215,116,150,424,12,95,207,1833,9,26.5,10.6,83.0,60.0,0.0
2013-11-23,37,210,145,207,718,15,85,187,1700,17,26.0,10.5,88.0,47.0,0.0
2013-11-24,47,111,132,232,588,33,72,110,706,23,26.5,11.3,84.0,48.0,0.0
2013-11-25,86,205,191,205,542,21,153,164,1722,28,27.8,12.0,78.0,45.0,0.0
2013-11-26,17,244,179,312,558,54,115,165,1682,11,28.0,11.9,78.0,45.0,0.0
2013-11-27,40,273,189,294,657,13,112,158,1542,31,28.0,12.0,89.0,51.0,0.0
2013-11-28,16,154,144,357,487,13,140,196,1544,16,28.0,10.9,78.0,44.0,0.0
2013-11-29,10,150,161,348,507,14,115,167,1516,15,27.2,10.5,73.0,41.0,0.0
2013-11-30,8,188,157,102,463,12,93,165,1711,13,27.0,10.8,72.0,41.0,0.0
2013-12-01,9,57,102,88,205,7,54,179,262,2,27.0,9.5,88.0,59.0,0.0
2013-12-02,23,159,225,214,385,11,54,159,1333,24,25.5,10.1,83.0,56.0,0.0
2013-12-03,19,229,290,190,340,6,71,146,1368,16,25.5,10.5,83.0,55.0,0.0
2013-12-04,18,226,161,71,461,7,82,159,1194,23,24.5,9.0,88.0,51.0,0.0
2013-12-05,21,250,246,221,401,26,157,242,1426,16,24.7,8.5,82.0,48.0,0.0
2013-12-06,14,172,212,122,421,17,146,166,1005,11,25.0,9.1,69.0,46.0,0.0
2013-12-07,7,188,218,159,396,13,92,204,855,21,25.7,9.5,88.0,70.0,0.0
2013-12-08,9,82,97,175,278,3,80,182,339,6,23.8,9.0,88.0,69.0,0.0
2013-12-09,5,190,266,210,387,9,137,283,1152,9,22.5,8.5,94.0,54.0,0.0
2013-12-10,6,140,119,196,360,9,126,262,844,12,23.5,8.5,88.0,54.0,0.0
2013-12-11,8,146,165,99,393,18,90,243,1138,14,23.8,8.4,87.0,57.0,0.0
2013-12-12,7,169,173,165,374,9,109,237,931,6,22.6,8.5,82.0,49.0,0.0
2013-12-13,3,238,174,83,296,15,41,121,889,10,23.5,9.2,77.0,38.0,0.0
2013-12-14,4,132,61,212,256,4,45,115,827,20,25.2,7.5,75.0,58.0,0.0
2013-12-15,10,23,40,22,220,7,33,11,334,0,23.5,7.7,76.0,73.0,0.0
2013-12-16,3,229,116,65,252,13,60,143,855,15,21.7,8.3,94.0,81.0,0.0
2013-12-17,6,163,100,38,220,8,91,101,844,17,21.0,8.5,100.0,80.0,0.0
2013-12-18,8,179,99,15,118,10,82,142,883,13,18.5,8.5,100.0,89.0,0.0
2013-12-19,2,279,150,23,113,8,161,132,909,16,15.8,8.0,100.0,100.0,0.0
2013-12-20,1,125,135,54,62,2,89,86,833,10,13.0,8.2,82.0,89.0,0.0
2013-12-21,2,74,47,100,53,5,76,89,680,11,16.0,8.0,94.0,88.0,0.0
2013-12-22,0,26,14,0,44,4,47,5,270,0,12.6,8.0,94.0,88.0,0.0
2013-12-23,0,57,89,4,62,4,45,56,502,12,14.0,6.5,87.0,65.0,0.0
2013-12-24,0,6,31,54,16,0,39,57,258,5,17.6,5.0,93.0,39.0,0.0
2013-12-25,1,37,96,1,56,0,71,10,169,0,19.5,5.5,73.0,36.0,0.0
2013-12-26,0,42,74,1,30,0,94,21,178,14,19.7,4.5,71.0,40.0,0.0
2013-12-27,0,69,90,6,76,1,71,16,414,19,19.7,3.5,84.0,55.0,0.0
2013-12-28,0,17,14,2,18,0,53,8,418,14,17.2,3.0,84.0,46.0,0.0
2013-12-29,0,1,11,0,1,0,6,8,182,0,18.2,2.3,84.0,41.0,0.0
2013-12-30,0,71,66,1,45,4,76,19,452,14,18.2,2.4,84.0,49.0,0.0
2013-12-31,0,30,57,0,40,2,36,13,399,13,17.5,2.5,80.0,81.0,0.0
